動画URL,物件名
https://www.youtube.com/watch?v=dBmlbAfsYuU,グランドメゾン白金の杜
https://www.youtube.com/watch?v=zjM_IrmVVII,パークコート虎ノ門愛宕タワー
https://www.youtube.com/watch?v=WYLE0k1fSJY,クラッシィタワー新宿御苑
https://www.youtube.com/watch?v=GZEnU81yaMQ,カテリーナ三田タワースイートE
https://www.youtube.com/watch?v=FQ2wiKC8D4Q,クロスエアタワー
https://www.youtube.com/watch?v=lz9Bj5P60rQ,TOKYO SEA SOUTH ブランファーレ
https://www.youtube.com/watch?v=jXT7BdD2P2o,クレストプライムタワー芝
https://www.youtube.com/watch?v=DR_utGms1qE,芝浦アイランドケープタワー
https://www.youtube.com/watch?v=1uoNlq8pEeo,エルフィーノ浅草
https://www.youtube.com/watch?v=RcidnTvlKGU,晴海アイランドトリトンスクエアビュータワー
https://www.youtube.com/watch?v=kO8MN2GKL34,ベイクレストタワー
https://www.youtube.com/watch?v=TOR-HR_dA2I,大崎ウエストシティタワーズW棟
https://www.youtube.com/watch?v=MpRz7hTzrQo,ザ・パークハウス渋谷南平台
https://www.youtube.com/watch?v=FL7ZmTOYAYM,パークコート麻布十番ザ・タワー
https://www.youtube.com/watch?v=aJyTCCprMaI,グランドミレーニア
https://www.youtube.com/watch?v=waYTG7B5ZgA,ザ・リバープレイスウエストタワー
https://www.youtube.com/watch?v=95xxL9QogCc,ワールドシティタワーズブリーズタワー
https://www.youtube.com/watch?v=6O1_iv0cp70,W Comfort Towers WEST
https://www.youtube.com/watch?v=qu8O79NCZ7U,TOKYO TOWERS SEA TOWER
https://www.youtube.com/watch?v=8PWyRnR-4bc,THE COURT神宮外苑
https://www.youtube.com/watch?v=uSpBqPVHLOo,グランリビオ表参道
https://www.youtube.com/watch?v=fVH-LA38vUE,プラウド浜田山
https://www.youtube.com/watch?v=76q04WLv4nI,ディアナコート二子玉川
https://www.youtube.com/watch?v=vQ3RYjLU6HI,ルネ・グランマリーナ潮見
https://www.youtube.com/watch?v=pN5027Gld-Y,ブリリアタワー浜離宮
https://www.youtube.com/watch?v=Tir2Zkeu1UU,ザ・パークハウス三田ガーデン
https://www.youtube.com/watch?v=fJC3eKO5WLk,シティタワーズ豊洲ザ・シンボル
https://www.youtube.com/watch?v=EdoPUa6dPro,ザ・パークハウス愛宕虎ノ門
https://www.youtube.com/watch?v=PO6PUlmugdI,シティハウス目黒ザ・ツインSOUTH棟
https://www.youtube.com/watch?v=9tLyfyqAsRU,ピアース渋谷WEST
https://www.youtube.com/watch?v=BkbhUxdgreQ,プラウドタワー東雲キャナルコート
https://www.youtube.com/watch?v=7FazeZ9xNO0,アトラス渋谷公園通り
https://www.youtube.com/watch?v=FtRdDTWpoq8,リビオ目黒リバーサウス
https://www.youtube.com/watch?v=3ZMQDmI13MQ,高輪ザ・レジデンス
https://www.youtube.com/watch?v=W_f7onyWLfE,オープンレジデンシア広尾ザ・ハウス サウスコート
https://www.youtube.com/watch?v=BsfbFW1Ezrk,ザ・パークハウス西新宿タワー60
https://www.youtube.com/watch?v=Rwk8gsKMfLc,ウエリス新宿早稲田の森
https://www.youtube.com/watch?v=Z7KZiJLfJ6w,ライオンズタワー池袋
